r,s
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,3
15,3
16,3
17,3
18,4
19,4
20,4
21,4
22,5
23,5
24,5
25,5
26,6
27,6
28,6
29,6
30,7
31,7
32,7
33,8
34,8
35,8
36,9
37,9
38,9
39,10
40,10
41,10
42,11
43,11
44,11
45,12
46,12
47,13
48,13
49,13
50,14
51,14
52,15
53,15
54,16
55,16
56,17
57,17
58,18
59,18
60,19
61,19
62,20
63,20
64,21
65,22
66,22
67,23
68,23
69,24
70,25
71,26
72,26
73,27
74,28
75,29
76,29
77,30
78,31
79,32
80,33
81,34
82,35
83,36
84,37
85,38
86,39
87,40
88,41
89,42
90,44
91,45
92,46
93,48
94,49
95,50
96,52
97,53
98,55
99,57
100,58
101,60
102,62
103,64
104,66
105,68
106,70
107,72
108,74
109,76
110,78
111,81
112,83
113,85
114,88
115,90
116,93
117,96
118,98
119,101
120,104
121,107
122,110
123,113
124,116
125,119
126,121
127,124
128,128
129,131
130,134
131,136
132,139
133,142
134,145
135,148
136,151
137,154
138,157
139,159
140,162
141,165
142,167
143,170
144,172
145,174
146,177
147,179
148,181
149,183
150,185
151,187
152,189
153,191
154,193
155,195
156,197
157,198
158,200
159,202
160,203
161,205
162,206
163,207
164,209
165,210
166,211
167,213
168,214
169,215
170,216
171,217
172,218
173,219
174,220
175,221
176,222
177,223
178,224
179,225
180,226
181,226
182,227
183,228
184,229
185,229
186,230
187,231
188,232
189,232
190,233
191,233
192,234
193,235
194,235
195,236
196,236
197,237
198,237
199,238
200,238
201,239
202,239
203,240
204,240
205,241
206,241
207,242
208,242
209,242
210,243
211,243
212,244
213,244
214,244
215,245
216,245
217,245
218,246
219,246
220,246
221,247
222,247
223,247
224,248
225,248
226,248
227,249
228,249
229,249
230,249
231,250
232,250
233,250
234,250
235,251
236,251
237,251
238,251
239,252
240,252
241,252
242,252
243,253
244,253
245,253
246,253
247,253
248,254
249,254
250,254
251,254
252,254
253,255
254,255
255,255
